Linux 2.6.32-754.35.1.el6.x86_64 (hdfs-nn1.spa.umn.edu) 	02/18/2022 	_x86_64_	(16 CPU)

01:34:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:29:56 PM     all      0.13      0.00      0.10      0.06      0.00     99.72
03:30:16 PM     all      8.77      0.00      1.05      0.06      0.00     90.12
03:30:36 PM     all      9.14      0.00      0.42      0.06      0.00     90.38
03:30:56 PM     all      0.11      0.00      0.10      0.06      0.00     99.73
03:31:16 PM     all      0.11      0.00      0.08      0.12      0.00     99.69
03:31:36 PM     all      0.13      0.00      0.13      0.07      0.00     99.67
03:31:56 PM     all      0.13      0.00      0.08      0.07      0.00     99.73
03:32:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.78
03:32:36 PM     all      0.13      0.00      0.13      0.04      0.00     99.70
03:32:56 PM     all      0.14      0.00      0.10      0.05      0.00     99.71
03:33:16 PM     all      0.12      0.00      0.08      0.12      0.00     99.69
03:33:36 PM     all      0.13      0.00      0.12      0.05      0.00     99.70
03:33:56 PM     all      0.11      0.00      0.10      0.06      0.00     99.73
03:34:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.77
03:34:36 PM     all      0.15      0.00      0.13      0.06      0.00     99.67
03:34:56 PM     all      0.10      0.00      0.09      0.05      0.00     99.75
03:35:16 PM     all      0.12      0.00      0.53      0.14      0.00     99.21
03:35:36 PM     all      0.24      0.00      0.19      0.05      0.00     99.52
03:35:56 PM     all      0.11      0.00      0.09      0.06      0.00     99.74
03:36:16 PM     all      0.11      0.00      0.08      0.04      0.00     99.77
03:36:36 PM     all      0.12      0.00      0.13      0.05      0.00     99.71
03:36:56 PM     all      0.13      0.00      0.09      0.05      0.00     99.73
03:37:16 PM     all      0.12      0.00      0.08      0.11      0.00     99.70
03:37:36 PM     all      0.11      0.00      0.13      0.07      0.00     99.69
03:37:56 PM     all      0.11      0.00      0.11      0.05      0.00     99.73
03:38:16 PM     all      0.15      0.00      0.09      0.07      0.00     99.69
03:38:36 PM     all      0.11      0.00      0.13      0.08      0.00     99.68
03:38:56 PM     all      0.40      0.00      0.14      0.04      0.00     99.41
03:39:16 PM     all      0.11      0.00      0.11      0.16      0.00     99.62
03:39:36 PM     all      2.20      0.00      0.40      0.11      0.00     97.28
03:39:56 PM     all      0.10      0.00      0.09      0.07      0.00     99.73
03:40:16 PM     all      0.14      0.00      0.72      0.09      0.00     99.05
03:40:36 PM     all      0.24      0.00      0.21      0.06      0.00     99.49
03:40:56 PM     all      0.11      0.00      0.10      0.07      0.00     99.72
03:41:16 PM     all      0.12      0.00      0.08      0.11      0.00     99.69
03:41:36 PM     all      0.13      0.00      0.12      0.06      0.00     99.69
03:41:56 PM     all      0.12      0.00      0.10      0.03      0.00     99.76
03:42:16 PM     all      0.11      0.00      0.08      0.08      0.00     99.74
03:42:36 PM     all      0.13      0.00      0.12      0.06      0.00     99.69
03:42:56 PM     all      0.11      0.00      0.10      0.05      0.00     99.74
